ID,LESSON,BOOK_LESSON,SUBJECT,TITLE,BOOK_TITLE,TIMESTAMP,VOLUME,PAGE,DESCRIPTION,BOOK_DESCRIPTION,INVENTOR
329,36-2,36,Intimate Magic,Match Through Safety Pin,Psychometric Crayons,1:11:05,3,68,Optical illusion to teach kids that some things move faster than the eye and brain can work.  Looks like match goes through a safety pin.  (Science),A Crayon is placed in tube and placed behind performer's back. The performer detects the color. This is repeated.,NONE
330,36-2,36,Intimate Magic,Match on Edge,Nifty Knots,1:16:06,3,70,"Several spectator are given matches from a matchbook. They are challenged to cause the match to drop on it edge (long edge). None can do it.  Magician grabs one of them and does it first try by ""cheating"" (slightly bends the match prior to dropping it). Then he grabs another and ""adds magic"" to it and has that spectator drop it.  When they drop it, the match is seen to have split in half.",Knots instantly appear in a rope,NONE
331,36-2,36,Intimate Magic,Rising and Falling Match,Vanishing Knot Flourishes,1:20:25,3,71,"Match torn out of matchbook is lit and dropped in bottle of water.  More water is poured into bottle to ""top it off"". Match floats in bottle. At magician's command, match sinks to bottom.  At magician's command, match rises.  It does either all at magician's control, even floating in middle of bottle.  (Science)",5 methods to untie a knot in a flourish,NONE
332,36-2,36,Intimate Magic,A Button off the Vest,G.W. Hunter's Puzzle Knot,1:32:16,3,72,Circular pendant on necklace being held on by bridal hitch is quickly removed and replaced. ,Tying a knot without letting go of the ends Close-up,NONE
333,36-1,36,Intimate Magic,Tavern Trickery,Bachelor's Needle,0:00:09,3,75,Quarter is borrowed and placed in spectator's hands. Spectator cuts card deck and card they cut to is placed face up on table. Quarter is shaken in hands. Quarter is flipped by spectator to reveal the card is now written on borrowed quarter. Another card is selected. That card is now written on the other side of the quarter. ,A rope is threaded through a loop without letting go of the end,NONE
334,36-1,37,Intimate Magic,Christopher's Finger Tip Telepathy,Conjuring with Currency,0:08:41,3,76,"Spectator A selects a card. Spectator B is able to name whether it's red or black, then the suit, then the value. Spectator A confirms all then shows the card.  ",,NONE
335,36-1,37,Intimate Magic,The Phantom Safety Pin,John Scarne's Bill Change,0:14:17,3,79,Safety pin stuck in handkerchief is moved without ripping cloth. ,A bill switch,NONE
336,36-1,37,Intimate Magic,"Ring Rope and Pin, Tom Osbornes Spirit Knot, Ring and the Knot",Grant's Slow Motion Bill Transposition,0:18:49,3,81,"Rope is laid on table with ends hanging off.  Borrowed ring is laid next to it. Handkerchief is used to cover it. Magician's hands go under handkerchief and ring is placed onto rope (without using ends). It is done again but this time, there is a knot placed in rope and ring is tied into knot.  Magician again ties knot and makes ring penetrate rope and ring ends up tied to knot on rope.",Nice $1 and $5 change,NONE
337,36-1,37,Intimate Magic,A Fountain Pen Nifty,Grant's Million Dollar Bill Mystery,0:35:35,3,88,Sharpie cap vanishes from hand and appears back on Sharpie,"Two bills torn, one half of each given to two spectators. Other halves are vanished, and envelope produced. Envelope is opened, and two halves match the ones held by the spectators.",NONE
338,36-1,37,Intimate Magic,Joe Berg's Criss-Cross Paper Napkin,Persnickety Pinochle Player,0:37:46,3,89,Half of napkin is balled up and covered by spectator. Other half is torn into pieces and balled up then magically switched with spectator's piece.  Then the whole napkin is restored.  ,Comedy version of Million Dollar Bill Mystery using two Aces of Diamonds.,NONE
339,36-1,37,Intimate Magic,Psychometric Crayons,Novel Burned and Restored Bill,0:45:57,3,94,"Magician hands 3 crayons to child. He miscalls the incorrect color each time. 1 crayon is placed into magician's hands, other 2 are placed behind child's back. Magician guesses the correct color in his hand.  This time child places 2 crayons in magician's hand and thinks about the 1 behind his own back.  Magician gets it correct.  Child places all crayons in magician's hands. Magician tries to remember the colors of the crayons behind his back.  Child requests any color crayon and magician instantly pulls it out.  ","Bill is burned on top of overturned saucer. When saucer is lifted, the restored bill is found.",NONE
340,36-1,37,Intimate Magic,"Nifty Knots, Vanishing Knot Flourishes",Half and Half,0:59:07,3,96/99,"A knot appears and disappears in a rope, finally ending with 2 knots appearing in the rope.","Bill is placed in envelope; envelope is signed inside and out and sealed. Envelope is cut into two, and so is the bill, as demonstrated when two half dollars are poured from the envelope.",NONE
341,36-1,37,Intimate Magic,G.W. Hunter's Puzzle Knot,The Life Saver,1:11:11,3,101,"Magician challenges child to attempt to tie a knot in a rope without letting go of the ends. After child can't do it, Magician does it several times including with the child holding 1 end, then both ends.",Vanished bill found inside Life Savers candy pack. Two versions.,NONE
342,36-1,37,Intimate Magic,Bachelor's Needle,Le Paul's Torn Bill,1:18:56,3,102,Rope penetrates itself like threading the eye of a needle.,"Dollar is borrowed and torn in two. Magician gives spectator half, which turns out to be a half dollar coin. Magician takes half dollar back and restores the bill.",NONE
343,37-1,37,Conjuring with Currency,John Scarne's Bill Change,A Dollar Makes a Break,0:00:09,3,106,$1 turns into $100.  $1 is now found in change purse.  ,"A dollar bill is used to strike and break a pencil, but the dollar breaks instead and drops change on the floor. Finally, another dollar is tried using a stunt and breaks the pencil.",NONE
344,37-1,37,Conjuring with Currency,Grant's Slow Motion Bill Transposition,The Topsy Turvy Bill,0:09:38,3,109,"Spectator folds their $1 as magician folds their $20. Magician takes both. Both go in spectator's hand and magician pulls out $1. $1 turns into $20.  When spectator opens his hand, he is holding $1.","A bill is shown and folded cleanly. When unfolded, the bill has turned upside down.",NONE
345,37-1,37,Conjuring with Currency,"Grant's ""Million Dollar"" Bill Mystery",Berland's One to Four,0:19:36,3,112,,"A dollar bill is cut into four, and four full dollars are produced, one from each piece.",NONE
346,37-1,37,Conjuring with Currency,The Persnickety Pinochle Player,Making Money to Order,0:43:54,3,115,,Similar to One to Four using Newspaper,NONE
347,37-1,37,Conjuring with Currency,Novel Burned and Restored Bill,Instant Number Memorization,0:57:12,3,116,,How to quickly memorize dollar serial number for a quick stunt,NONE
348,37-1,37,Conjuring with Currency,Half and Half,Sign A Bill,1:13:16,3,118,,A stunt. New bills are 'torn' from a checkbook style cover.,NONE
349,37-1,37,Conjuring with Currency,The Life Saver,A Roll of Bills,1:23:31,3,122,,Another stunt. Bills are joined at the ends in a 'roll' of bills.,NONE
350,37-1,38,Conjuring with Currency,Le Paul's Torn Bill & Sign-A-Bill,Modern Coin Effects,1:41:54,3,126/135,,,NONE
351,37-1,38,Conjuring with Currency,"A Dollar Makes a ""Break"" & The Topsy-Turvy Bill",Manuel's Coin Star,1:47:56,3,127/129,,flourish,NONE
352,37-1,38,Conjuring with Currency,Berland's One to Four,The Four Coin Flourish,2:13:39,3,130,,Stack of 4 coins opens between the fingers,NONE
353,37-1,38,Conjuring with Currency,Making Money to Order,The Coin Roll,2:18:49,3,133,,Flourish with one coin,NONE
354,37-1,38,Conjuring with Currency,Instant Number Memorization,Al Zink's Coin Production,2:26:23,3,134,,"dime, nickle, quarter, and half rapidly produced",NONE
355,37-1,38,Conjuring with Currency,A Roll of Bills,Nelson Hahne's Dime Through Hand,2:47:41,3,136,,"Dime placed on back of magician's hand and covered with a Half Dollar. Half is removed and dime has vanished, to be found inside the hand. Only one dime and half used.",NONE
356,38-1,38,Modern Coin Effects,Manuel's Coin Star,Joe Berg's Coin Change,0:00:09,3,137,,Copper/Silver tranposition using one copper and one silver,NONE
357,38-1,38,Modern Coin Effects,The Four Coin Flourish,Harry Bernstein's Dollar and Dime,0:05:18,3,139,,Silver dollar and dime transform repeatedly at the fingertips,NONE
358,38-1,38,Modern Coin Effects,The Coin Roll,Paul Morris' Coin Vanish,0:08:38,3,140,,Coin vanish using sleeving,NONE
359,38-1,38,Modern Coin Effects,Al Zink's Coin Production,Paul Morris' Color Changing Coin,0:11:49,3,142,,variation of above used as coin change,NONE
360,38-1,38,Modern Coin Effects,Combo Coin Routine,Paul Morris' Ubiquitous Coin,0:20:34,---,---,,Impromptu 2 coin routine. Can be combined with Back and Forth or used alone. Uses sleeving and French Drop. With rhyming patter.,NONE
361,38-1,38,Modern Coin Effects,Paul Morris' Ubiquitous Coin & Back and Forth,Back and Forth. ,0:57:31,3,153/155,,"A continuation of Paul Morris' Ubiquitous Coin, or can be used alone.",NONE
