ID,LESSON,BOOK_LESSON,SUBJECT,TITLE,BOOK_TITLE,TIMESTAMP,VOLUME,PAGE,DESCRIPTION,BOOK_DESCRIPTION,INVENTOR
743,74-1,69,Novelty Magic Vol 1,Grant's Ghost Knot,Production of Stack of Four Bowls of Water,0:16:03,6,106,A great rope utility gimmick that allows knots to vanish from its center.,,NONE
744,74-1,69,Novelty Magic Vol 1,"George Blake's ""Uncanny Hanks""",Chinese Production of the Four Bowls,0:26:35,6,107,Treasures untie themselves from a rope on your command. Complete upgrade to the original method.,stage,NONE
745,74-1,69,Novelty Magic Vol 1,"Graham Adams' Ring, Chair and Rope",Production of a Child,1:02:57,6,113,"A ring and rope trick that plays huge, with your spectator at the center of it all.",using body loading and chinese costume,NONE
746,74-1,69,Novelty Magic Vol 1,Bob Elis' Miser's Dream with Dollar Bills,Modern Production of a Bowl of Water on a Table,1:17:58,6,116,"Learn to produce as much cash as you want, right at your fingertips.",gaffed table,NONE
747,74-1,69,Novelty Magic Vol 1,"Blackstar's Mystic Match Box 1, 2, 3",The Vanishing Bowl of Water,1:28:19,6,119,Two great puzzle routines where you release a box from a strip of paper.,using assistant,NONE
748,74-1,69,Novelty Magic Vol 1,Novel Coin Vanish,Chinese Production of Doves,1:50:49,6,123,A great coin vanish you can do with any handkerchief.,using bowl,NONE
749,74-1,70,Novelty Magic Vol 1,Vanishing Beer,nan,2:01:43,6,126,"A new routine for an old idea, that contains a bit more magic, and gets away from the all-too-common presentation",,NONE
750,74-1,70,Novelty Magic Vol 1,Tan Hock Chuan's Silk Through the Glass,The Egyptian Mummy,2:13:13,6,129,"Pull a handkerchief right through the bottom of a thoroughly examined, completely ungimmicked glass container.",mummy changes to person in cabinet,NONE
751,74-2,71,Novelty Magic Vol 2,Tarbell Phantom Sticker,nan,0:00:10,6,131,A use for a sticker as an extra convincer during an envelope switch.,,NONE
752,74-2,71,Novelty Magic Vol 2,Eighteen Card Mystery,Money Not the Only Essential,0:02:13,6,135,A great cards across routine utilizing the Tarbell Phantom Sticker.,,NONE
753,74-2,71,Novelty Magic Vol 2,Here's Your Change,Photograph of Eddie Burnette and Lucille,0:30:44,6,135,A clever bill transposition with a surprise ending utilizing the Tarbell Phantom Sticker.,,NONE
754,74-2,71,Novelty Magic Vol 2,Fantus Cards,Photograph of Cardini and Wife (Swan),0:46:38,6,136,"A thought of card appears in an envelope, utilizing the Tarbell Phantom Sticker.",,NONE
755,74-2,71,Novelty Magic Vol 2,Tarbell Travelling Sticker,Select your Field of Operation,1:06:46,6,136,Vanish a chosen sticker and have it re-appear on a borrowed business card.,,NONE
756,74-2,71,Novelty Magic Vol 2,Fu Manchu's Utility Bag,School Assemblies,1:22:24,6,139,"Use the magic 8 ball to reveal a chosen card. Then, flatten the ball using this deceptive utility bag.",,NONE
757,74-2,71,Novelty Magic Vol 2,Grant's Cigarette Classic,Club Shows,1:40:57,6,142,Incredibly clean vanish and re-appearance of a cigarette.,,NONE
758,74-2,71,Novelty Magic Vol 2,Royal Cigarette Vanish,"Photograph of Dr Harlan Tarbell ""Himself""",1:55:51,6,146,Complete vanish of a borrowed cigarette.,,NONE
759,74-2,71,Novelty Magic Vol 2,"Sands-Van Slyker ""Birds of a Feather""",Photograph of Okito in Chinese Costume,2:03:02,6,148,Coin assembly using only four ungimmicked coins and an unprepared handkerchief.,,NONE
760,74-2,71,Novelty Magic Vol 2,"Tarbell ""Bank Night Cardboard and Envelope""",Photograph of Frakson Doing the Rising Cards,2:13:21,6,152,"Incredibly versatile and deceptive technique which allows you to cleanly remove a folded bill, or billet, from an envelope, even though it was never really inside.",,NONE
761,74-2,71,Novelty Magic Vol 2,Tarbell's Magnetic Card and Envelope,Dinner Table Magic,2:33:05,6,155,"A shredded, borrowed credit card restored in a secluded envelope.",,NONE
762,75-1,71,Rope Magic,Bob Elis' Vishnu Rope Mystery,Other Types of Magic Shows,,6,159,A smooth way to convincingly cut a length of rope into three pieces and restore them back to one by trimming off the knots.,,NONE
763,75-1,71,Rope Magic,Denhart Ring on the Rope,"Photograph of Werner C Dornfield (""Dorny"")",,6,164,A puzzling way to thread a ring on a rope with the ends secured around someone's wrists.,,NONE
764,75-1,71,Rope Magic,Hindu Ring on the Rope,"Photograph of Dr Harlan Tarbell, Doing Mental Act",,6,167,A classic ring on string trick with yet another method and a delayed reveal.,,NONE
765,75-1,71,Rope Magic,Peter Warlock's Ring and Rope Release,Photograph of Frakson in Action,,6,169,A simplified update of a convincing ring release from a tied loop.,,NONE
766,75-1,71,Rope Magic,EZ Cut and Restored Rope Mystery,Booking and Publicizing a Show,,6,178,"A full cut and restored rope routine containing ""Another Ending for Zella Ring on the Rope"" & ""Zella Ring on the Rope""",,NONE
767,75-1,71,Rope Magic,Grant's Bombay Ropes and Rings,"Folders, Photos and Posters",,6,181,"Straighten out a tangled mess you make with the help of two volunteers, so they can both get exactly what they want.",,NONE
768,75-1,71,Rope Magic,Tarbell's Linking Rope Ring Routine,"Reproductions of Posters of Ed Reno, Eugene Laurant and Elmore",,6,187,"Four loops of rope, tied by you and your helper, are mysteriously linked together.",,NONE
769,76-1,71,Mind Reading Mysteries Vol 1,Parrish's Telepathic Drawings,Promotion Through Newspapers,0:00:10,6,195,A drawing duplication routine that uses ungimmicked clipboards to secretly get a peek.,,NONE
770,76-1,71,Mind Reading Mysteries Vol 1,Sterling-Tarbell Astrological Mindreading Act,"Reproduction of Photo-Offset ""Paste-Up"" Circular, Tarbell in Honolulu",0:12:20,6,198,An incredibly clever method to obtain and reveal all kinds of information. This routine could be converted into an entire mind reading act.,,NONE
771,76-1,71,Mind Reading Mysteries Vol 1,Sydney Bergson's Thought Anticipation,Knowledge is Power,0:59:53,6,203,Impossibly divine a thought of listing from an ungimmicked book.,,NONE
772,76-1,71,Mind Reading Mysteries Vol 1,Royal Message Reading,"Notices, Reviews and Advertising",1:23:03,6,206,"A quick, easy way to glimpse written information trapped between two cards.",,NONE
773,76-1,71,Mind Reading Mysteries Vol 1,Sid Lorraine's Dictionary Message Reading,Timely Tie-Ups,1:41:13,6,209,A direct method to know any word chosen from a pocket dictionary.,,NONE
774,76-1,71,Mind Reading Mysteries Vol 1,"Tarbell ""Wrapped Card"" Message Reading",Stationery,1:57:14,6,211,You'll learn how to see what's written on a card completely wrapped in a piece of paper.,,NONE
775,76-1,NONE,Mind Reading Mysteries Vol 1,Long Strip Billet Reading,NONE,2:10:42,6,214,A variation to center tear a long strip of paper.,NONE,NONE
776,76-1,NONE,Mind Reading Mysteries Vol 1,Gerald Kosky's Prediction,NONE,2:23:05,6,216,Add a number prediction using a post-it note pad.,NONE,NONE
777,76-2,NONE,Mind Reading Mysteries Vol 2,Parrish Mentalism,NONE,0:00:10,6,219,A neat way to gain access to hidden information using only a book of paper matches.,NONE,NONE
778,76-2,NONE,Mind Reading Mysteries Vol 2,"Jack Avis' ""Message from Hades""",NONE,0:12:05,6,221,Predict any animal named in any color chosen.,NONE,NONE
779,76-2,NONE,Mind Reading Mysteries Vol 2,Tarbell-Butler Envelope Prediction,NONE,0:25:55,6,225,"A prediction sealed inside two envelopes, contains all the information chosen by members of the audience.",NONE,NONE
780,76-2,NONE,Mind Reading Mysteries Vol 2,Royal Newspaper Headline Prediction,NONE,0:41:10,6,228,Predict a internet headline a week in advance.,NONE,NONE
781,76-2,NONE,Mind Reading Mysteries Vol 2,Tarbell-Parrish Newspaper Headline Prediction,NONE,1:08:09,6,233,Predict a sensational headline created in-the-moment by members of the audience. Confabulation-style.,NONE,NONE
782,76-2,NONE,Mind Reading Mysteries Vol 2,Celebrity Choice,NONE,1:28:02,6,237,Your participant decides which photo to keep and you reveal it's the only famous autograph you have.,NONE,NONE
783,76-2,NONE,Mind Reading Mysteries Vol 2,How to Win Three Horse Races,NONE,1:54:45,6,242,You predict three cards that will be chosen.,NONE,NONE
784,76-2,NONE,Mind Reading Mysteries Vol 2,Spectator's Choice,NONE,2:11:06,6,245,Your spectator finds three chosen cards.,NONE,NONE
785,76-2,NONE,Mind Reading Mysteries Vol 2,"Al Koran's ""A Word in Thousands""",NONE,2:23:36,6,247,Al Koran's book test masterpiece. Divine any word thought of from a book.,NONE,NONE
786,77-1,NONE,X-Ray Eyes and Blindfold Effects,X-Ray Eyes,NONE,0:00:10,6,252,The best-known method and presentation for the X-Ray Vision act in which the eyes are taped shut and covered with a thick cloth.,NONE,NONE
787,77-1,NONE,X-Ray Eyes and Blindfold Effects,A Simple Handkerchief Blindfold,NONE,0:28:03,6,256,Learn how to make an effective blindfold from an ordinary bandana that easily switches from opaque to see-through whenever you desire.,NONE,NONE
788,77-1,NONE,X-Ray Eyes and Blindfold Effects,The Modern Blindfold,NONE,0:57:43,6,257,"The same concept as the ""Simple Handkerchief Blindfold"", but applied to a professionally-made, innocent-looking strip of black cloth.",NONE,NONE
789,77-1,NONE,X-Ray Eyes and Blindfold Effects,The Blindfold Drive,NONE,1:18:04,6,258,"The classic publicity stunt of driving a car while blindfolded, performed live.",NONE,NONE
790,77-1,NONE,X-Ray Eyes and Blindfold Effects,The Excelsior Hood Blindfold,NONE,1:18:04,6,259,"Learn how to make a black hood that can be examined by the audience, that covers your head completely, yet you can see right through it.",NONE,NONE
791,77-1,NONE,X-Ray Eyes and Blindfold Effects,The Velvetine Hood Blindfold,NONE,1:49:44,6,260,"A revised method allows you to see even with your eyes completely covered with tape, stuck down tightly on all edges.",NONE,NONE
792,77-1,NONE,X-Ray Eyes and Blindfold Effects,Test-conditions Drawing Duplication,NONE,2:37:03,---,---,Test-conditions Drawing Duplication: Harlan reveals his closely-guarded method that really does give you the super-power to see through opaque objects. You have to see it to believe it.,NONE,NONE
793,78-1,NONE,Silk and Rope Presentations,Jimmy Herpick's Single Knot Release,NONE,0:00:10,6,266,"A full rope penetration act that plays BIG, using a necktie instead of a silk. You will learn various knot release techniques including: Jimmy Herpick’s Single Knot Release, Lyons’ Handkerchief From Rope, Single Knot Handkerchief Through Rope, The Middleswart Handkerchief Knot, and the Tarbell-rice Dissolvo Handkerchief; As a bonus and kicker ending to the Five Piece Suit, you'll learn how to make the tie re-appear on your neck with Dan's practical, new design. ",NONE,NONE
794,78-1,NONE,Silk and Rope Presentations,Lyon's Handkerchief from Rope,NONE,0:00:10,6,265,"A full rope penetration act that plays BIG, using a necktie instead of a silk. You will learn various knot release techniques including: Jimmy Herpick’s Single Knot Release, Lyons’ Handkerchief From Rope, Single Knot Handkerchief Through Rope, The Middleswart Handkerchief Knot, and the Tarbell-rice Dissolvo Handkerchief; As a bonus and kicker ending to the Five Piece Suit, you'll learn how to make the tie re-appear on your neck with Dan's practical, new design. ",NONE,NONE
795,78-1,NONE,Silk and Rope Presentations,Single Knot Handkerchief through Rope,NONE,0:00:10,6,263,"A full rope penetration act that plays BIG, using a necktie instead of a silk. You will learn various knot release techniques including: Jimmy Herpick’s Single Knot Release, Lyons’ Handkerchief From Rope, Single Knot Handkerchief Through Rope, The Middleswart Handkerchief Knot, and the Tarbell-rice Dissolvo Handkerchief; As a bonus and kicker ending to the Five Piece Suit, you'll learn how to make the tie re-appear on your neck with Dan's practical, new design. ",NONE,NONE
796,78-1,NONE,Silk and Rope Presentations,The Middleswart Handkerchief Knot,NONE,0:00:10,6,272,"A full rope penetration act that plays BIG, using a necktie instead of a silk. You will learn various knot release techniques including: Jimmy Herpick’s Single Knot Release, Lyons’ Handkerchief From Rope, Single Knot Handkerchief Through Rope, The Middleswart Handkerchief Knot, and the Tarbell-rice Dissolvo Handkerchief; As a bonus and kicker ending to the Five Piece Suit, you'll learn how to make the tie re-appear on your neck with Dan's practical, new design. ",NONE,NONE
797,78-1,NONE,Silk and Rope Presentations,Tarbell-rice Dissolvo Handkerchief Knot,NONE,0:00:10,6,269,"A full rope penetration act that plays BIG, using a necktie instead of a silk. You will learn various knot release techniques including: Jimmy Herpick’s Single Knot Release, Lyons’ Handkerchief From Rope, Single Knot Handkerchief Through Rope, The Middleswart Handkerchief Knot, and the Tarbell-rice Dissolvo Handkerchief; As a bonus and kicker ending to the Five Piece Suit, you'll learn how to make the tie re-appear on your neck with Dan's practical, new design. ",NONE,NONE
798,78-1,NONE,Silk and Rope Presentations,Tarbell Triple Handkerchief Release,NONE,0:30:47,6,275,Three handkerchiefs knotted together are used to perform an opening ceremony that gets your show off to a surprising start.,NONE,NONE
799,78-1,NONE,Silk and Rope Presentations,Silk through the Wrist,NONE,0:37:14,6,277,You will learn how to pass a silk scarf directly through your arm,NONE,NONE
800,79-1,NONE,Escapes and Substitutions,The Substitution Trunk Mystery,NONE,0:00:10,6,280,"Dan shows you the now-standard Substitution Trunk (or Metamorphosis), performed differently.",NONE,NONE
801,79-1,NONE,Escapes and Substitutions,The Canvas Box Escape,NONE,0:24:08,6,287,"Dan transforms the substitution trunk into a modern, urban mystery with an instantaneous, and unexpected, exchange.",NONE,NONE
802,79-1,NONE,Escapes and Substitutions,The Royal Packing Box Escape,NONE,0:43:44,6,293,You'll learn how to constuct a coffin escape complete with menacing spikes and a shocking ending.,NONE,NONE
803,79-1,NONE,Escapes and Substitutions,Grant's Packing Box Escape,NONE,1:26:33,6,296,"Easy to build and perform, this box can be inspected and signed by the whole audience, yet your escape takes only seconds.",NONE,NONE
804,79-1,NONE,Escapes and Substitutions,Tarbell-Grant Packing Box Escape,NONE,1:51:12,6,299,This seemingly straight-forward packing crate escape becomes a weird visible penetration effect explaining how the performer melts right through solid walls.,NONE,NONE
805,79-1,NONE,Escapes and Substitutions,Fischer-Bamberg Packing Box Escape,NONE,2:12:42,6,301,You'll learn the clever secret of an innocent-looking box that still allows you to make a quick escape even though it's securely bound by ropes.,NONE,NONE
806,79-1,NONE,Escapes and Substitutions,The Paper Bag Escape,NONE,2:51:38,6,306,"An unusual escape, typically done with a paper bag, is updated to a large, clear, heavy-duty, plastic bag.",NONE,NONE
807,79-1,NONE,Escapes and Substitutions,The Bonbon Paper Bag Escape,NONE,3:09:18,6,307,Dan's modern take on a silly idea becomes a wonderfully stunning showstopper. You'll learn to escape from two trash barrells locked together.,NONE,NONE
808,8-1,NONE,Ball Tricks,The Cups and Balls,NONE,0:00:10,1,157,Impromptu cups and balls routine ending with tennis balls,NONE,NONE
809,8-1,NONE,Ball Tricks,The Three Wandering Sponge Balls,NONE,0:18:16,1,163,Sponge ball routine utilizing 4 sponge balls (comedy),NONE,NONE
810,8-1,NONE,Ball Tricks,The Four Traveling Balls,NONE,0:36:11,1,170,Sponge ball routine where 3 balls teleport to under a hat one by one while the spectator is watching the hat.  The finale is a giant load.,NONE,NONE
811,8-1,NONE,Ball Tricks,The Patriotic Paper Balls,NONE,0:48:33,1,170,"3 packets of ketchup are placed into spectator 1s paper bag, 3 packets of mustard are placed into spectator 2s paper bag. 3 packets of relish are placed into spectator 3s paper bag. magician snaps. All 3 spectators now have 1 of each condiment.  When magician tears open all bags, giant squeaky hot dog appears.",NONE,NONE
812,80-1,NONE,Spirit Ties and Vest Turning,Gysel's Spirit Tie,NONE,0:00:10,6,309,"You'll learn how to be tied to a chair, yet still be able to move your arms freely. This method is used in Harlans updated spirit cabinet routine. You'll see how to make objects move or appear from nowhere with just a brief plunge into darkness",NONE,NONE
813,80-1,NONE,Spirit Ties and Vest Turning,The Marvel Wrist Tie,NONE,0:38:51,6,312,"A convincing wrist tie that seems impossible to beat, but you can make your escape in mere seconds",NONE,NONE
814,80-1,NONE,Spirit Ties and Vest Turning,The Kellar Rope Tie,NONE,0:44:04,6,314,"With your hands securly tied behind your back, you are able to quickly remove your hand from, and replace your hand back in the tie. The infamous Kellar rope tie retains all the mystery of the original with quite a few extra weird moments thrown in.",NONE,NONE
815,80-1,NONE,Spirit Ties and Vest Turning,Vest Turning,NONE,0:57:37,6,317,Re-imagined as a crazy party stunt where you turn your volunteer's T-shirt inside out while he's securely tied.,NONE,NONE
816,81-1,NONE,Modern Stage Magic,Fu Manchu's Magic Microphone,NONE,0:00:10,6,321,"Youll learn how to make a microphone that can be opened up, shown empty, and then used to produce various small objects. Comes complete with a full smooth jazz routine",NONE,NONE
817,81-1,NONE,Modern Stage Magic,Chinese Tape through the Neck,NONE,0:23:04,6,324,"A convincing penetration through the neck that can be performed with a scarf, ribbon, rope, or tie. Improved with a little twist.",NONE,NONE
818,81-1,NONE,Modern Stage Magic,Berland's Tray Servante,NONE,0:27:57,6,327,"An easy to make utility device that turns any tray into a versatile, secret servante.",NONE,NONE
819,81-1,NONE,Modern Stage Magic,Judge Wethered's Black Art Tray,NONE,0:38:35,6,329,A utility table that allows you to make just about anything appear or vanish without sleight-of-hand. Comes complete with a cups and balls beer pong routine.,NONE,NONE
820,81-1,NONE,Modern Stage Magic,The Hindu Turban Mystery,NONE,1:02:24,6,334,The classic cut-and-restored rope gets a stage-size upgrade to play to a much bigger crowd.,NONE,NONE
821,81-1,NONE,Modern Stage Magic,Don Greenwood's Lighted Cigarette Routine,NONE,1:10:46,6,338,A full cigarette manipulation routine with a big ending. You'll learn how to make the craziest smoking jacket you have ever seen.,NONE,NONE
822,81-1,NONE,Modern Stage Magic,Jack Chanin's Cigarette Routine,NONE,1:35:30,6,343,"The cigarettes here are replaced with french fries to have a little fun with some fast food, finally ending up with a fresh vegetable snack.",NONE,NONE
823,81-1,NONE,Modern Stage Magic,George Sands' Cigarette Production,NONE,1:49:33,6,346,You'll learn all about the challenges of shooting magic underwater as a somewhat standard cigarette routine gets a completely surreal re-working.,NONE,NONE
824,81-1,NONE,Modern Stage Magic,Jimmy Herpick's Cigarette Routine,NONE,2:12:02,6,351,"The cigarettes here are replaced with crayons to show you how the same techniques work just as well, including the final production of a jumbo sharpie",NONE,NONE
825,81-1,NONE,Modern Stage Magic,"George Sands' ""Phantom"" Cigarette",NONE,2:18:12,6,353,You'll learn how to roll an invisible cigarette and make it impossibly appear in front of your audience.,NONE,NONE
826,81-1,NONE,Modern Stage Magic,David Tobias Bamberg's Coin in Ball of Wool,NONE,2:28:50,6,355,A signed coin vanishes and ends up inside the center of a ball of yarn.,NONE,NONE
827,81-1,NONE,Modern Stage Magic,David Tobias Bamberg's Ring in Ball of Wool,NONE,3:00:23,6,359,A borrowed ring vanishes and ends up inside the center of a ball of yarn.,NONE,NONE
828,81-1,NONE,Modern Stage Magic,Ed Reno's Knife through the Arm,NONE,3:07:48,6,362,You will learn how to plunge a pair of scissors right through your palm.,NONE,NONE
829,82-1,NONE,Stage Productions,UF Grant's Carton Production,NONE,0:00:10,6,367,"You will learn how to make an innocent-looking cardboard box that can be shown completely empty, yet allows you to produce just about anything you want.",NONE,NONE
830,82-1,NONE,Stage Productions,The Square and Circle Production,NONE,0:13:59,6,372,"Two routines using the versatile Square and Circle production box. Produce anything you want on stage. When you really want to go big on a budget, you can't do much better than this.",NONE,NONE
831,82-1,NONE,Stage Productions,Vincent Malmstrom's Organ Pipe Routine,NONE,0:39:58,6,379,Three tubes are shown empty yet produce a bountiful banquet of food and beverages sure to impress all your guests.,NONE,NONE
832,82-1,NONE,Stage Productions,The Doll House Illusion,NONE,1:24:49,6,393,A brand new design for the infamous Doll House illusion allowing the entire interior to be displayed.,NONE,NONE
833,82-1,NONE,Stage Productions,Christopher's Slot Machine Illusion,NONE,2:00:06,6,399,Produce a Las Vegas Showgirl from an antique slot machine.,NONE,NONE
834,83-1,NONE,Magic as Theater,Thespis,NONE,0:00:10,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
835,83-1,NONE,Magic as Theater,Aristotle,NONE,0:02:47,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
836,83-1,NONE,Magic as Theater,Elements of Theater,NONE,0:06:10,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
837,83-1,NONE,Magic as Theater,Samuel Taylor Coleridge,NONE,0:06:37,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
838,83-1,NONE,Magic as Theater,The Set,NONE,0:09:22,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
839,83-1,NONE,Magic as Theater,Procenium Stage,NONE,0:10:37,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
840,83-1,NONE,Magic as Theater,Arena Stage,NONE,0:12:44,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
841,83-1,NONE,Magic as Theater,Thrust Stage,NONE,0:14:13,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
842,83-1,NONE,Magic as Theater,Traverse Stage,NONE,0:15:00,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
843,83-1,NONE,Magic as Theater,Blackbox Theater and Other Venues,NONE,0:16:03,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
844,83-1,NONE,Magic as Theater,Tables,NONE,0:19:38,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
845,83-1,NONE,Magic as Theater,Stage Directions,NONE,0:20:31,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
846,83-1,NONE,Magic as Theater,Props,NONE,0:23:55,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
847,83-1,NONE,Magic as Theater,Costumes,NONE,0:33:21,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
848,83-1,NONE,Magic as Theater,Lighting,NONE,0:43:22,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
849,83-1,NONE,Magic as Theater,Animate,NONE,1:02:35,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
850,83-1,NONE,Magic as Theater,Stanislawski Method,NONE,1:02:53,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
851,83-1,NONE,Magic as Theater,Audience,NONE,1:11:37,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
852,83-1,NONE,Magic as Theater,Animals,NONE,1:18:37,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
853,83-1,NONE,Magic as Theater,Sound,NONE,1:21:28,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
854,83-1,NONE,Magic as Theater,Conceptual,NONE,1:36:47,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
855,83-1,NONE,Magic as Theater,Script,NONE,1:54:44,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
856,83-1,NONE,Magic as Theater,The Six Functions of Dialogue,NONE,1:58:04,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
857,83-1,NONE,Magic as Theater,Practice and Rehersal,NONE,2:00:51,6,403,Elements of Theater- Stage Types- Stage Directions- Props- Costumes- Lighting- The Stanislawski Method- Scripting- The Six Functions of Dialogue- Practice and Rehearsal,NONE,NONE
858,84-1,NONE,More Mental Magic,The Telepathic Pillboxes,NONE,0:00:10,7,21,A simple choice of one of three cartoon characters decorating three nesting boxes and you're able to reveal you knew which one someone would choose.,NONE,NONE
859,84-1,NONE,More Mental Magic,Pavel's Predicta-Rope,NONE,0:10:37,7,24,Your helper passes a psychic test by tying three ropes together in any order. The ropes are then proven to match your prediction,NONE,NONE
860,84-1,NONE,More Mental Magic,Bergson's Non-Center Tear,NONE,0:18:00,7,26,"A simple, innocent-looking substitute for a center tear or fancy peek device giving you total access to hidden information.",NONE,NONE
861,84-1,NONE,More Mental Magic,Spirit Transposition,NONE,0:29:53,7,29,"You will learn to gain access to hidden information, not just mentally, but physically as well, without any gimmicks or extraneous devices.",NONE,NONE
862,84-1,NONE,More Mental Magic,Overdrawn,NONE,0:46:47,7,31,A fun routine where you can always tell how many cookies somebody has removed from the cookie jar.,NONE,NONE
863,84-1,NONE,More Mental Magic,Louis Philip's Calcutta,NONE,1:11:35,7,32,You will learn how to reveal any city chosen from a large selection.,NONE,NONE
864,84-1,NONE,More Mental Magic,Addition Prediction,NONE,1:29:35,7,34,"Using UNO cards, you predict the sum of a 5 player game.",NONE,NONE
865,84-1,NONE,More Mental Magic,Ed Schuman's Sightless Sight,NONE,1:56:39,7,37,"A little-known and under-used principle, you'll learn to find hidden treasure written on a card, and reveal it without looking.",NONE,NONE
866,84-1,NONE,More Mental Magic,Ken Beale's Triple ESP Prediction,NONE,2:14:20,7,40,"Three alphabet cards, chosen by a random number, spell a word... and you reveal the physical manifestation of that word.",NONE,NONE
867,84-1,NONE,More Mental Magic,You Read my Mind,NONE,2:26:43,7,44,Your helpers somehow name the face-up suit among four cards hidden in an envelope.,NONE,NONE
868,84-1,NONE,More Mental Magic,Ken Krenzel's Never Say Die,NONE,2:43:59,7,48,A die (rolled randomly) matches the number in another person's mind.,NONE,NONE
869,84-1,NONE,More Mental Magic,Mento-Pen,NONE,2:54:25,7,52,A sneaky technique combined with a bit of flair allows you to know what snack someone will choose to have in her lunchbag.,NONE,NONE
870,84-1,NONE,More Mental Magic,A Spectator Reads a Mind,NONE,3:14:32,7,55,You can give someone the power to see a thought-of card in a borrowed ring.,NONE,NONE
871,84-1,NONE,More Mental Magic,The Antique Medallion,NONE,3:22:46,7,58,A spectator names an imaginary animal. That name is then found engraved on the collar of a stuffed animal.,NONE,NONE
872,84-1,NONE,More Mental Magic,Classified Ad Prediction,NONE,3:42:21,7,60,"Predict the exact make, model, and year of a randomly predicted used car.",NONE,NONE
873,84-1,NONE,More Mental Magic,Max Lister's Easy Message Reading,NONE,3:57:28,7,62,A clever method that allows you to actually read a message truly sealed in an envelope and destroyed by fire.,NONE,NONE
